O,D,cluster,nrOfTrips
2611,2616,2,0
2611,2616,3,0
2611,2616,4,0
2611,2616,5,0
2611,2616,6,0
2611,2622,1,11
2611,2622,2,102
2611,2622,3,0
2611,2622,4,75
2611,2622,5,3
2611,2622,6,0
2611,2623,1,18
2611,2623,2,168
2611,2623,3,0
2611,2623,4,123
2611,2623,5,4
2611,2623,6,0
2611,2624,1,179
2611,2624,2,1627
2611,2624,3,0
2611,2624,4,1197
2611,2624,5,47
2611,2624,6,0
2611,2625,1,95
2611,2625,2,869
2611,2625,3,0
2611,2625,4,639
2611,2625,5,25
2611,2625,6,0
2611,2626,1,2
2611,2626,2,18
2611,2626,3,0
2611,2626,4,13
2611,2626,5,0
2611,2626,6,0
2611,2627,1,67
2611,2627,2,615
2611,2627,3,0
2611,2627,4,452
2611,2627,5,18
2611,2627,6,0
2611,2628,1,212
2611,2628,2,1926
2611,2628,3,0
2611,2628,4,1417
2611,2628,5,56
2611,2628,6,0
2611,2629,1,5
2611,2629,2,53
2611,2629,3,0
2611,2629,4,39
2611,2629,5,1
2611,2629,6,0
2611,3000,1,195
2611,3000,2,1770
2611,3000,3,0
2611,3000,4,1302
2611,3000,5,52
2611,3000,6,0
2612,1001,1,829
2612,1001,2,2206
2612,1001,3,0
2612,1001,4,3403
2612,1001,5,41
2612,1001,6,0
2612,1002,1,5
2612,1002,2,15
2612,1002,3,0
2612,1002,4,23
2612,1002,5,0
2612,1002,6,0
2612,1003,1,25
2612,1003,2,68
2612,1003,3,0
2612,1003,4,106
2612,1003,5,1
2612,1003,6,0
2612,1004,1,1
2612,1004,2,3
2612,1004,3,0
2612,1004,4,5
2612,1004,5,0
2612,1004,6,0
2612,1005,1,8
2612,1005,2,21
2612,1005,3,0
2612,1005,4,33
2612,1005,5,0
2612,1005,6,0
2612,1006,1,0
2612,1006,2,0
2612,1006,3,0
2612,1006,4,0
2612,1006,5,0
2612,1006,6,0
2612,1007,1,4
2612,1007,2,11
2612,1007,3,0
2612,1007,4,17
2612,1007,5,0
2612,1007,6,0
2612,2611,1,998
2612,2611,2,2656
2612,2611,3,0
2612,2611,4,4098
2612,2611,5,50
2612,2611,6,0
2612,2612,1,0
2612,2612,2,0
2612,2612,3,0
2612,2612,4,0
2612,2612,5,0
2612,2612,6,0
2612,2613,1,538
2612,2613,2,1433
2612,2613,3,0
2612,2613,4,2210
2612,2613,5,27
2612,2613,6,0
2612,2614,1,82
2612,2614,2,219
2612,2614,3,0
2612,2614,4,339
2612,2614,5,4
2612,2614,6,0
2612,2616,1,0
2612,2616,2,0
2612,2616,3,0
2612,2616,4,0
2612,2616,5,0
2612,2616,6,0
2612,2622,1,1
2612,2622,2,4
2612,2622,3,0
2612,2622,4,7
2612,2622,5,0
2612,2622,6,0
2612,2623,1,5
2612,2623,2,15
2612,2623,3,0
2612,2623,4,24
2612,2623,5,0
2612,2623,6,0
2612,2624,1,26
2612,2624,2,71
2612,2624,3,0
2612,2624,4,110
2612,2624,5,1
2612,2624,6,0
2612,2625,1,14
2612,2625,2,38
2612,2625,3,0
2612,2625,4,58
2612,2625,5,0
2612,2625,6,0
2612,2626,1,0
2612,2626,2,1
2612,2626,3,0
2612,2626,4,2
2612,2626,5,0
2612,2626,6,0
2612,2627,1,21
2612,2627,2,57
2612,2627,3,0
2612,2627,4,88
2612,2627,5,1
2612,2627,6,0
2612,2628,1,175
2612,2628,2,466
2612,2628,3,0
2612,2628,4,719
2612,2628,5,8
2612,2628,6,0
2612,2629,1,4
2612,2629,2,13
2612,2629,3,0
2612,2629,4,20
2612,2629,5,0
2612,2629,6,0
2612,3000,1,29
2612,3000,2,78
2612,3000,3,0
2612,3000,4,121
2612,3000,5,1
2612,3000,6,0
2613,1001,1,221
2613,1001,2,1276
2613,1001,3,0
2613,1001,4,1106
2613,1001,5,0
2613,1001,6,0
2613,1002,1,18
2613,1002,2,108
2613,1002,3,0
2613,1002,4,94
2613,1002,5,0
2613,1002,6,0
2613,1003,1,84
2613,1003,2,484
2613,1003,3,0
2613,1003,4,419
2613,1003,5,0
2613,1003,6,0
2613,1004,1,10
2613,1004,2,60
2613,1004,3,0
2613,1004,4,52
2613,1004,5,0
2613,1004,6,0
2613,1005,1,11
2613,1005,2,68
2613,1005,3,0
2613,1005,4,59
2613,1005,5,0
2613,1005,6,0
2613,1006,1,0
2613,1006,2,0
2613,1006,3,0
2613,1006,4,0
2613,1006,5,0
2613,1006,6,0
2613,1007,1,1
2613,1007,2,9
2613,1007,3,0
2613,1007,4,8
2613,1007,5,0
2613,1007,6,0
2613,2611,1,360
2613,2611,2,2073
2613,2611,3,0
2613,2611,4,1796
2613,2611,5,0
2613,2611,6,0
2613,2612,1,366
2613,2612,2,2111
2613,2612,3,0
2613,2612,4,1829
2613,2612,5,0
2613,2612,6,0
2613,2613,1,0
2613,2613,2,0
2613,2613,3,0
2613,2613,4,0
2613,2613,5,0
2613,2613,6,0
2613,2614,1,732
2613,2614,2,4218
2613,2614,3,0
2613,2614,4,3655
2613,2614,5,0
2613,2614,6,0
2613,2616,1,0
2613,2616,2,0
2613,2616,3,0
2613,2616,4,0
2613,2616,5,0
2613,2616,6,0
2613,2622,1,30
2613,2622,2,174
2613,2622,3,0
2613,2622,4,150
2613,2622,5,0
2613,2622,6,0
2613,2623,1,42
2613,2623,2,247
2613,2623,3,0
2613,2623,4,214
2613,2623,5,0
2613,2623,6,0
2613,2624,1,415
2613,2624,2,2393
2613,2624,3,0
2613,2624,4,2074
2613,2624,5,0
2613,2624,6,0
2613,2625,1,222
2613,2625,2,1279
2613,2625,3,0
2613,2625,4,1108
2613,2625,5,0
2613,2625,6,0
2613,2626,1,4
2613,2626,2,27
2613,2626,3,0
2613,2626,4,24
2613,2626,5,0
2613,2626,6,0
2613,2627,1,95
2613,2627,2,548
2613,2627,3,0
2613,2627,4,475
2613,2627,5,0
2613,2627,6,0
2613,2628,1,121
2613,2628,2,698
2613,2628,3,0
2613,2628,4,605
2613,2628,5,0
2613,2628,6,0
2613,2629,1,7
2613,2629,2,41
2613,2629,3,0
2613,2629,4,35
2613,2629,5,0
2613,2629,6,0
2613,3000,1,273
2613,3000,2,1577
2613,3000,3,0
2613,3000,4,1366
2613,3000,5,0
2613,3000,6,0
2614,1001,1,53
2614,1001,2,423
2614,1001,3,0
2614,1001,4,443
2614,1001,5,18
2614,1001,6,0
2614,1002,1,13
2614,1002,2,106
2614,1002,3,0
2614,1002,4,111
2614,1002,5,4
2614,1002,6,0
2614,1003,1,61
2614,1003,2,483
2614,1003,3,0
2614,1003,4,505
2614,1003,5,21
2614,1003,6,0
2614,1004,1,22
2614,1004,2,180
2614,1004,3,0
2614,1004,4,189
2614,1004,5,8
2614,1004,6,0
2614,1005,1,2
2614,1005,2,16
2614,1005,3,0
2614,1005,4,17
2614,1005,5,0
2614,1005,6,0
2614,1006,1,0
2614,1006,2,0
2614,1006,3,0
2614,1006,4,0
2614,1006,5,0
2614,1006,6,0
2614,1007,1,0
2614,1007,2,4
2614,1007,3,0
2614,1007,4,4
2614,1007,5,0
2614,1007,6,0
2614,2611,1,214
2614,2611,2,1688
2614,2611,3,0
2614,2611,4,1766
2614,2611,5,75
2614,2611,6,0
2614,2612,1,89
2614,2612,2,701
2614,2612,3,0
2614,2612,4,733
2614,2612,5,31
2614,2612,6,0
2614,2613,1,1151
2614,2613,2,9057
2614,2613,3,0
2614,2613,4,9475
2614,2613,5,406
2614,2613,6,0
2614,2614,1,0
2614,2614,2,0
2614,2614,3,0
2614,2614,4,0
2614,2614,5,0
2614,2614,6,0
2614,2616,1,0
2614,2616,2,0
2614,2616,3,0
2614,2616,4,0
2614,2616,5,0
2614,2616,6,0
2614,2622,1,66
